Id,CountryName,DisplayCountryName,IsActive,CreatedBy,CreatedDate,CreatedByIP,UpdatedBy,UpdatedDate,UpdatedByIP
1,India,India,True,1,2025-08-03T13:55:33.080000,127.0.0.1,1,2025-08-03T13:55:33.080000,127.0.0.1
2,Sweden,Sweden,True,1,2025-08-03T13:55:33.080000,127.0.0.1,1,2025-08-03T13:55:33.080000,127.0.0.1
3,Japan,Japan,True,1,2025-08-03T13:55:33.080000,127.0.0.1,1,2025-08-03T13:55:33.080000,127.0.0.1
4,China,China,True,1,2025-08-03T13:55:33.080000,127.0.0.1,1,2025-08-03T13:55:33.080000,127.0.0.1
5,India,India,True,1,2025-08-03T13:55:40.140000,127.0.0.1,1,2025-08-03T13:55:40.140000,127.0.0.1
6,Sweden,Sweden,True,1,2025-08-03T13:55:40.140000,127.0.0.1,1,2025-08-03T13:55:40.140000,127.0.0.1
7,Japan,Japan,True,1,2025-08-03T13:55:40.140000,127.0.0.1,1,2025-08-03T13:55:40.140000,127.0.0.1
8,China,China,True,1,2025-08-03T13:55:40.140000,127.0.0.1,1,2025-08-03T13:55:40.140000,127.0.0.1
